"Appendix for Berner et al., Biomass allometry for alder, dwarf birch, and willow in boreal and tundra ecosystems of far northeastern Siberia and north-central Alaska",,,,,,,,,,,,
,,,,,,,,,,,,
Description,,,,,,,,,,,,
Physical characteristics of 358 shrubs sampled mid to late summer in 2011-2013 from 33 sites spread between northern Alaska and far northeastern Siberia (Yakutia).,,,,,,,,,,,,
"We sampled a variety of species including Alaskan green alder (A. viridis subsp. crispa), Siberian alder (A. fruticosa), dwarf birch (Betula  nana subsp. exilis and B. nana subsp. divaricata) and a variety of willow (e.g., S. alaxensis, S. glauca, and S. pulchra, and others).",,,,,,,,,,,,
M.M.,Salix,unknown,Alaska,Tundra,NE14TK2,0.335,,12.3,,,,4.29
M.M.,Salix,unknown,Alaska,Tundra,NE14TK2,0.26,,13.6,,,,6.82
M.M.,Salix,unknown,Alaska,Tundra,IKTK3,0.235,,15.5,,,,9.88
M.M.,Salix,unknown,Alaska,Tundra,IKTK3,0.47,,27.5,,,,10.88
M.M.,Salix,unknown,Alaska,Tundra,IKTK3,0.325,,21.7,,,,34.61
M.M.,Salix,unknown,Alaska,Tundra,IKTK3,0.315,,22.5,,,,8.07
M.M.,Salix,unknown,Alaska,Tundra,IKTK3,0.72,,33.5,,,,17.03
M.M.,Salix,unknown,Alaska,Tundra,IKTK3,0.33,,17.6,,,,4.72
M.M.,Salix,unknown,Alaska,Tundra,IKTK1,0.545,,27,,,,16.51
M.M.,Salix,unknown,Alaska,Tundra,IKTK1,0.82,,26.7,,,,16.26
M.M.,Salix,unknown,Alaska,Tundra,IKTK1,0.27,,15,,,,4.97
M.M.,Salix,unknown,Alaska,Tundra,NE14TK3,1.405,,62,,,,106.82
M.M.,Salix,unknown,Alaska,Tundra,NE14TK3,0.655,,23,,,,66.27
M.M.,Salix,unknown,Alaska,Tundra,NE14TK3,1.3,,74,,,,65.30
M.M.,Salix,unknown,Alaska,Tundra,NE14TK3,1.145,,50,,,,24.03
M.M.,Salix,unknown,Alaska,Tundra,NE14TK3,1.11,,40.5,,,,17.34
M.M.,Salix,unknown,Alaska,Tundra,NE14TK1,0.58,,37,,,,10.00
M.M.,Salix,unknown,Alaska,Tundra,IM1TK3,0.275,,15.5,,,,11.65
M.M.,Salix,unknown,Alaska,Tundra,IM1TK3,0.4,,27.5,,,,12.45
M.M.,Salix,unknown,Alaska,Tundra,IM1TK3,0.235,,21.7,,,,19.53
M.M.,Salix,unknown,Alaska,Tundra,IM1TK3,0.31,,22.5,,,,10.66
M.M.,Salix,unknown,Alaska,Tundra,IM1TK3,0.28,,21.7,,,,8.57
M.M.,Salix,glauca,Alaska,Tundra,IM1TK3,2.7,,170,,,74.59,685.13
M.M.,Salix,glauca,Alaska,Tundra,IM1TK3,2.75,,155,,,27.40,279.47
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK3,3.25,,195,,,46.60,346.61
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK3,2.8,,50,,,2.37,236.32
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK3,4.5,,195,,,59.60,411.08
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK3,2.175,,120,,,23.31,257.42
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,3.28,157,142,,,39.04,431.61
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.58,157,83,,,6.67,34.09
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.09,168,158,,,7.46,170.53
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.045,137,118,,,14.70,137.74
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.755,222,40.3,,,21.11,593.96
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.11,222,160,,,17.12,212.59
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,3.89,222,153,,,22.89,568.92
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,3.83,222,157,,,8.54,337.00
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,3.34,222,180,,,6.18,336.14
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,3.02,222,168,,,3.99,215.55
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.14,177,136,,,13.92,208.97
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.905,149,115,,,10.94,120.77
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.4,149,54,,,0.26,28.34
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.26,149,92,,,4.19,91.61
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,0.975,149,66,,,0.21,65.73
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.45,149,121,,,1.16,54.53
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.325,149,68,,,4.30,48.73
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.905,149,117,,,9.33,142.01
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.15,149,29.4,,,1.82,229.48
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.125,151,143,,,4.20,133.21
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.645,151,34,,,0.00,18.56
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.625,151,37,,,0.00,19.52
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.285,151,88,,,6.14,44.43
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,1.39,151,52,,,15.90,54.72
M.M.,Salix,glauca,Alaska,Tundra,IM1TK1,0.81,34,55,,,7.18,30.76
M.M.,Salix,glauca,Alaska,Tundra,IM1TK1,0.475,37,28,,,18.93,34.70
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK1,0.775,46,47.5,,,5.50,11.85
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK1,1.375,86,76,,,61.55,177.23
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK1,1.985,49,87,,,35.73,85.02
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK1,1.495,65,96,,,20.34,72.68
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,0.98,69,68,,,9.19,21.33
M.M.,Salix,glauca,Alaska,Tundra,IKTK2,0.35,24.2,25,,,0.20,0.90
M.M.,Salix,glauca,Alaska,Tundra,IKTK2,0.745,32,41,,,10.05,22.07
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,1.45,65,71,,,8.78,27.11
M.M.,Salix,pulchra,Alaska,Tundra,IKTK2,0.455,22,28,,,0.94,2.39
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,0.395,21,21,,,0.54,1.27
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.465,151,143.5,,,7.48,292.90
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.015,130,92,,,5.30,147.18
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.35,165,199,,,13.66,284.61
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,2.735,152,177,,,40.65,870.33
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,3.705,165,224.5,,,33.31,658.93
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,3.65,208,207,,,43.19,655.25
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK2,2.865,148,146,,,22.85,513.65
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,2.605,121,137.5,,,27.03,444.09
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,3.075,174,222.5,,,18.27,1006.12
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,4.7,117,210.5,,,37.23,1061.47
M.M.,Salix,glauca,Alaska,Tundra,NE14TK3,2.55,101,118,,,59.28,778.14
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,3.765,118,113.5,,,32.86,768.54
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,2.325,141,140,,,42.11,336.52
M.M.,Salix,alaxensis,Alaska,Tundra,NE14TK3,2.94,180,185.5,,,29.22,483.42
M.M.,Salix,glauca,Alaska,Tundra,IKTK2,1.52,67,81.5,,,31.06,137.67
M.M.,Salix,pulchra,Alaska,Tundra,IKTK2,2.64,73,125,,,41.59,363.57
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,1.17,70,72.5,,,10.38,39.41
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,0.605,43,45,,,6.55,23.84
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,1.425,55,57,,,11.85,35.96
M.M.,Salix,glauca,Alaska,Tundra,IKTK2,1.16,44,42.5,,,2.48,8.18
M.M.,Salix,glauca,Alaska,Tundra,IKTK2,0.94,55,56,,,4.28,14.38
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK2,1.195,56.5,74.5,,,4.65,16.19
M.M.,Salix,glauca,Alaska,Tundra,IKTK2,1.075,49,66,,,21.52,167.23
M.M.,Salix,glauca,Alaska,Tundra,IKTK3,2.565,119,158,,,182.46,1314.29
M.M.,Salix,glauca,Alaska,Tundra,IKTK3,1.58,96,94,,,18.26,285.19
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK3,2.93,164,202,,,46.84,536.28
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK3,2.31,134,144,,,9.24,156.42
M.M.,Salix,glauca,Alaska,Tundra,IKTK3,2.86,155,202,,,15.16,300.99
M.M.,Salix,pulchra,Alaska,Tundra,IKTK3,2.055,146,180,,,57.80,1068.09
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK3,3.06,283,282,,,65.52,1261.33
M.M.,Salix,glauca,Alaska,Tundra,IKTK3,2.34,132,164.5,,,92.02,1031.42
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK3,2.985,230,223.5,,,85.77,1409.67
M.M.,Salix,glauca,Alaska,Tundra,IKTK1,1.375,56,76,,,28.01,149.37
M.M.,Salix,pulchra,Alaska,Tundra,IKTK1,1.39,55,76,,,39.19,108.49
M.M.,Salix,pulchra,Alaska,Tundra,IKTK1,1.47,57,88,,,24.55,104.28
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK1,0.615,49,54.5,,,3.85,8.43
M.M.,Salix,alaxensis,Alaska,Tundra,IKTK1,1.38,32,51,,,19.46,51.91
M.M.,Salix,glauca,Alaska,Tundra,IKTK1,1.515,39,56,,,3.67,15.48
M.M.,Salix,glauca,Alaska,Tundra,IKTK1,0.94,33,60,,,21.60,66.60
M.M.,Salix,glauca,Alaska,Tundra,IKTK1,1.485,45,99,,,24.12,91.46
M.M.,Salix,glauca,Alaska,Tundra,IKTK1,1.115,79,81,,,12.55,29.99
M.M.,Salix,glauca,Alaska,Tundra,IKTK1,0.98,33,46.5,,,2.51,7.45
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK2,3.515,132,135,,,71.82,565.37
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK2,2.015,147,145,,,15.37,103.95
M.M.,Salix,alaxensis,Alaska,Tundra,IM1TK2,2.94,212,94,,,165.10,931.03
M.M.,Salix,pulchra,Alaska,Tundra,IM1TK2,1.305,105,53,,,116.57,499.23
M.M.,Salix,pulchra,Alaska,Tundra,IM1TK2,1.345,116,112,,,19.99,99.68
